 	Label	X	Y	Z	Value	
1	em_low_A	400	400	0	32774	
2	em_low_B	400	300	0	32776	
3	em_low_C	200	300	0	32770	
4	em_low_D	200	400	0	32774	
5	129+7_220_kink	36	351	0	32771	
6	129+7_220_kink	36	351	0	32771	
7	lm_A	1.	1	0	32777	
8	lm_B	2	1	0	1399	
9	lm_C	2	3	0	993	
10	lm_D	1	3	01130	
11	Stack:8	1.660	2.553	7	1226	
12	Stack:8	1.013	2.533	7	1046	
13	Stack:8	1.200	2.440	7	2167	
14	em_low_P	-0.2	0	0	33901	
15	em_low_Q	0	0.5	0	33817	
16	em_low_R	-0.25	1	0	33898	
17	em_low_S	-0.5	0.8	0	33930	
18	em_mosaic_P	9.8	20	0	33901
19	em_move_over_P	400	400	0	33901	
20	em_move_over_Q	400	390	0	33817	
21	em_move_over_R	370	390	0	33898	
22	em_move_over_S	370	400	0	33930	
23	em_mosaic_A	1400	2400	0	32774	
24	em_mosaic_B	1400	2300	0	32776	
25	em_mosaic_C	1200	2300	0	32770	
26	em_mosaic_D	1200	2400	0	32774	
